ID         Имя                       Приоритет    Время запуска        Состояние       Время CPU      
43078      textunderstandi           0            2025-11-11 17:04:48  Running         00:00:00.7077250
43077      icloudmailagent           0            2025-11-11 17:04:47  Running         00:00:01.3790125
40357      localspeechreco           0            2025-11-11 16:13:49  Running         00:00:00.1028583
40309      printtool                 0            2025-11-11 16:10:55  Running         00:00:00.6705500
40306      VTDecoderXPCSer           0            2025-11-11 16:10:41  Running         00:00:01.0318875
40299      com.apple.audio           0            2025-11-11 16:10:41  Running         00:00:00.0220416
40298      Telegram                  0            2025-11-11 16:10:40  Running         00:18:15.1571250
39501      betaenrollmenta           0            2025-11-11 16:06:06  Running         00:00:00.3129375
37584      AMPArtworkAgent           0            2025-11-11 15:01:27  Running         00:00:00.0729000
37583      com.apple.BKAge           0            2025-11-11 15:01:26  Running         00:00:01.1888958
37582      PodcastContentS           0            2025-11-11 15:01:26  Running         00:00:00.1024791
37580      AMPLibraryAgent           0            2025-11-11 15:01:25  Running         00:00:03.0859208
37579      media-indexer             0            2025-11-11 15:01:25  Running         00:00:00.1208625
37564      sirittsd                  0            2025-11-11 15:00:35  Running         00:00:00.8932541
37560      proactiveeventt           0            2025-11-11 15:00:26  Running         00:00:00.6343791
37558      intelligencepla           0            2025-11-11 15:00:24  Running         00:00:00.2077791
37557      backgroundasset           0            2025-11-11 15:00:24  Running         00:00:00.2815333
37414      storekitagent             0            2025-11-11 14:52:03  Running         00:00:01.4807791
37413      metrickitd                0            2025-11-11 14:52:03  Running         00:00:00.0508583
37349      MTLCompilerServ           0            2025-11-11 14:49:51  Running         00:00:00.0940083
37337      managedcorespot           0            2025-11-11 14:49:47  Running         00:00:01.3706750
37328      PlugInLibrarySe           0            2025-11-11 14:49:46  Running         00:00:00.0448666
37324      progressd                 0            2025-11-11 14:49:44  Running         00:00:00.1508666
37318      com.apple.Cloud           0            2025-11-11 14:49:44  Running         00:00:00.3168375
37175      MENotificationA           0            2025-11-11 11:24:51  Running         00:00:00.1344375
37174      MTLAssetUpgrade           0            2025-11-11 11:24:51  Running         00:00:07.6400125
37172      com.apple.Strea           0            2025-11-11 11:24:48  Running         00:00:00.3799375
37171      SiriSuggestions           0            2025-11-11 11:24:46  Running         00:00:00.1450625
37170      appplaceholders           0            2025-11-11 11:24:46  Running         00:00:01.4583666
37149      filevaultd                0            2025-11-11 11:23:36  Running         00:00:00.6346666
34840      MTLCompilerServ           0            2025-11-11 09:31:37  Running         00:00:00.0717583
34839      MTLCompilerServ           0            2025-11-11 09:31:37  Running         00:00:00.0826458
34832      intents_helper            0            2025-11-11 09:31:18  Running         00:00:00.0302916
34782      replicatord               0            2025-11-11 08:59:45  Running         00:00:05.6210583
34771      PlugInLibrarySe           0            2025-11-11 08:56:24  Running         00:00:00.0258708
34759      webpushd                  0            2025-11-11 08:56:21  Running         00:00:00.3983500
34750      PasswordBreachA           0            2025-11-11 08:56:20  Running         00:00:00.3007291
34739      itunescloudd              0            2025-11-11 08:56:19  Running         00:00:02.9267208
34736      webprivacyd               0            2025-11-11 08:56:19  Running         00:00:00.5726750
34656      spindump_agent            0            2025-11-11 08:53:11  Running         00:00:00.0217583
34616      TrustedPeersHel           0            2025-11-11 08:53:07  Running         00:00:00.4816125
34613      csnameddatad              0            2025-11-11 08:53:06  Running         00:00:00.0263166
34587      FeatureAccessAg           0            2025-11-11 06:47:36  Running         00:00:00.7543791
34584      ModelCatalogAge           0            2025-11-11 06:32:07  Running         00:00:01.4537083
34567      com.apple.mlhos           0            2025-11-11 05:43:54  Running         00:00:00.0436125
34559      geoanalyticsd             0            2025-11-11 05:43:51  Running         00:00:00.4420458
34558      devicecheckd              0            2025-11-11 05:43:51  Running         00:00:00.5803250
34555      amsondevicestor           0            2025-11-11 05:43:50  Running         00:00:01.9724916
34519      adprivacyd                0            2025-11-11 04:01:15  Running         00:00:01.1250708
34449      seserviced                0            2025-11-11 02:54:30  Running         00:00:00.2320541
34433      promotedcontent           0            2025-11-11 01:22:47  Running         00:00:01.4408958
34421      SafariLaunchAge           0            2025-11-11 00:18:58  Running         00:00:00.1351708
34406      photoanalysisd            0            2025-11-11 00:03:14  Running         00:00:09.1079750
34405      ManagedSettings           0            2025-11-11 00:03:14  Running         00:00:00.1411000
34404      photolibraryd             0            2025-11-11 00:03:13  Running         00:00:00.8685833
34402      ProtectedCloudK           0            2025-11-11 00:03:11  Running         00:00:00.5990458
34401      transparencyd             0            2025-11-11 00:03:10  Running         00:00:10.1927041
34396      TrialArchivingS           0            2025-11-11 00:03:06  Running         00:00:00.8930875
34393      geodMachService           0            2025-11-11 00:03:06  Running         00:00:00.0447458
34391      triald                    0            2025-11-11 00:03:05  Running         00:00:13.6736708
34388      deleted                   0            2025-11-11 00:03:04  Running         00:00:06.3487375
34373      Managed Backgro           0            2025-11-11 00:02:21  Running         00:00:00.1939833
34370      findmydevice-us           0            2025-11-11 00:02:20  Running         00:00:00.2092250
34369      IMTransferAgent           0            2025-11-11 00:02:20  Running         00:00:02.3499625
34366      keychainsharing           0            2025-11-11 00:02:19  Running         00:00:00.0897708
34365      AuthenticationS           0            2025-11-11 00:02:19  Running         00:00:01.6319166
34352      localizationswi           0            2025-11-11 00:02:19  Running         00:00:00.2883541
34350      amsengagementd            0            2025-11-11 00:02:19  Running         00:00:08.0291916
34351      mobiletimerd              0            2025-11-11 00:02:19  Running         00:00:02.1965208
34349      appleaccountd             0            2025-11-11 00:02:19  Running         00:00:01.0278541
34346      CloudKeychainPr           0            2025-11-11 00:02:19  Running         00:00:00.0908958
34348      followupd                 0            2025-11-11 00:02:19  Running         00:00:00.0957666
34347      cdpd                      0            2025-11-11 00:02:19  Running         00:00:00.4409750
34342      XProtectPluginS           0            2025-11-10 23:45:14  Running         00:00:05.1513833
34339      XProtect                  0            2025-11-10 23:45:14  Running         00:00:00.0517541
34336      extensionkitser           0            2025-11-10 23:45:14  Running         00:00:01.3255458
34335      cloudphotod               0            2025-11-10 23:45:14  Running         00:00:01.3627166
34331      ReportCrash               0            2025-11-10 23:45:14  Running         00:00:08.6740291
34316      findmylocateage           0            2025-11-10 23:45:12  Running         00:00:01.0096666
34314      donotdisturbd             0            2025-11-10 23:45:12  Running         00:00:07.3462666
34312      extensionkitser           0            2025-11-10 23:45:12  Running         00:00:00.2606958
33675      keyboardservice           0            2025-11-10 23:44:18  Running         00:00:01.1700291
33318      SetStoreUpdateS           0            2025-11-10 23:43:14  Running         00:00:01.7457916
33317      IMDPersistenceA           0            2025-11-10 23:43:14  Running         00:00:17.0099750
33316      siriknowledged            0            2025-11-10 23:43:13  Running         00:00:15.8058250
33306      recentsd                  0            2025-11-10 23:43:01  Running         00:00:00.4054125
32909      ctkd                      0            2025-11-10 23:39:45  Running         00:00:01.3794583
32792      bluetoothuserd            0            2025-11-10 23:38:16  Running         00:00:01.0824250
32487      MessagesBlastDo           0            2025-11-10 23:37:45  Running         00:00:00.1994125
32486      businessservice           0            2025-11-10 23:37:45  Running         00:00:00.1915541
32450      replayd                   0            2025-11-10 23:37:09  Running         00:00:04.4168875
32440      feedbackd                 0            2025-11-10 23:36:51  Running         00:00:00.2010083
29234      CSExattrCryptoS           0            2025-11-10 23:17:33  Running         00:00:00.0289750
28668      stickersd                 0            2025-11-10 23:12:32  Running         00:00:00.7439333
28667      com.apple.Chara           0            2025-11-10 23:12:32  Running         00:00:00.0830166
26809      MTLCompilerServ           0            2025-11-10 22:54:18  Running         00:00:00.0915000
26810      MTLCompilerServ           0            2025-11-10 22:54:18  Running         00:00:00.0694625
26743      PlugInLibrarySe           0            2025-11-10 22:52:53  Running         00:00:00.0261875
26741      XprotectService           0            2025-11-10 22:52:52  Running         00:00:00.0746875
26739      PlugInLibrarySe           0            2025-11-10 22:52:52  Running         00:00:00.0270125
26450      ColorSampler              0            2025-11-10 22:46:47  Running         00:00:09.4444791
17841      com.apple.WebKi           0            2025-11-10 21:19:51  Running         00:00:00.4894875
17840      WebThumbnailExt           0            2025-11-10 21:19:51  Running         00:00:00.8595541
17839      OfficeThumbnail           0            2025-11-10 21:19:51  Running         00:00:01.1432000
13137      screencaptureui           0            2025-11-10 21:08:07  Running         00:06:02.5127916
12396      studentd                  0            2025-11-10 20:46:45  Running         00:00:37.8591916
7385       TextThumbnailEx           0            2025-11-10 20:31:53  Running         00:00:04.7221791
7384       AudiovisualThum           0            2025-11-10 20:31:53  Running         00:00:00.2215416
5213       LinkedNotesUISe           0            2025-11-10 19:52:33  Running         00:00:01.5702458
4896       CGPDFService              0            2025-11-10 14:56:40  Running         00:00:08.2521208
4818       colorsync.usera           0            2025-11-10 14:49:45  Running         00:00:00.4357375
4030       IntelligencePla           0            2025-11-09 20:10:24  Running         00:00:50.6077958
3490       GamePolicyAgent           0            2025-11-09 00:16:10  Running         00:00:01.9257958
3489       gamed                     0            2025-11-09 00:16:10  Running         00:01:19.2413125
3464       IMAutomaticHist           0            2025-11-08 23:59:54  Running         00:00:00.2367166
3402       rcd                       0            2025-11-08 20:55:34  Running         00:00:00.9419250
3282       proactived                0            2025-11-08 19:35:25  Running         00:00:03.8244583
3257       peopled                   0            2025-11-08 19:16:07  Running         00:00:20.1759833
3063       reversetemplate           0            2025-11-08 18:54:57  Running         00:00:00.7871583
2880       PowerChime                0            2025-11-08 18:11:17  Running         00:00:07.1552958
2770       coreautha                 0            2025-11-08 17:38:12  Running         00:00:05.3010875
2606       nbagent                   0            2025-11-08 17:03:20  Running         00:00:03.5892541
2528       AppleSpell                0            2025-11-08 16:48:38  Running         00:04:22.6637416
2529       naturallanguage           0            2025-11-08 16:48:38  Running         00:00:08.5815041
2011       mediaanalysisd            0            2025-11-08 16:11:13  Running         00:02:10.3246875
1760       spotlightknowle           0            2025-11-08 16:09:52  Running         00:00:00.1455500
1686       mlhostd                   0            2025-11-08 16:08:32  Running         00:00:04.3287666
1687       jetpackassetd             0            2025-11-08 16:08:32  Running         00:00:06.3430583
1667       dataaccessd               0            2025-11-08 16:08:25  Running         00:01:38.8018125
1652       mapssyncd                 0            2025-11-08 16:08:09  Running         00:00:03.4052208
1642       managedappdistr           0            2025-11-08 16:07:32  Running         00:00:05.6936125
1614       csimporter                0            2025-11-08 16:07:05  Running         00:00:00.1285708
1522       AquaAppearanceH           0            2025-11-08 16:06:43  Running         00:00:04.1818583
1440       AppPredictionIn           0            2025-11-08 16:06:21  Running         00:00:07.7875583
1435       MessagesActionE           0            2025-11-08 16:06:06  Running         00:00:00.0637791
1434       SafariLinkExten           0            2025-11-08 16:06:05  Running         00:00:00.0809166
1433       CalendarIntents           0            2025-11-08 16:06:04  Running         00:00:00.0862041
1391       Keychain Circle           0            2025-11-08 16:05:20  Running         00:00:02.1296833
1164       tipsd                     0            2025-11-08 16:04:54  Running         00:00:05.0097000
868        diagnostics_age           0            2025-11-08 16:03:11  Running         00:00:04.1472666
1096       contactsd                 0            2025-11-08 16:04:02  Running         00:14:27.8722166
1107       WallpaperImageE           0            2025-11-08 16:04:04  Running         00:00:00.1862791
1106       NeptuneOneWallp           0            2025-11-08 16:04:04  Running         00:00:00.0230333
1105       ImageThumbnailE           0            2025-11-08 16:04:04  Running         00:00:01.8545125
1104       WallpaperSonoma           0            2025-11-08 16:04:04  Running         00:00:00.0235708
1103       WallpaperSequoi           0            2025-11-08 16:04:04  Running         00:00:00.0237958
1102       WallpaperGradie           0            2025-11-08 16:04:04  Running         00:00:00.0280541
1099       extensionkitser           0            2025-11-08 16:04:04  Running         00:00:00.8459666
1101       WallpaperMacint           0            2025-11-08 16:04:04  Running         00:00:00.0251791
1100       WallpaperLegacy           0            2025-11-08 16:04:04  Running         00:00:00.0775291
1092       mdwrite                   0            2025-11-08 16:03:59  Running         00:00:00.0840208
1085       ShortcutsViewSe           0            2025-11-08 16:03:54  Running         00:00:04.0897083
1080       MTLCompilerServ           0            2025-11-08 16:03:46  Running         00:00:00.7009916
1075       intelligencecon           0            2025-11-08 16:03:39  Running         00:00:02.0863750
1055       inputanalyticsd           0            2025-11-08 16:03:30  Running         00:00:01.6261708
1048       siriinferenced            0            2025-11-08 16:03:25  Running         00:00:02.4618958
1047       maild                     0            2025-11-08 16:03:25  Running         00:00:01.1704541
1046       UsageTrackingAg           0            2025-11-08 16:03:25  Running         00:00:33.4463166
1044       ScopedBookmarkA           0            2025-11-08 16:03:24  Running         00:00:01.7441500
1017       appstoreagent             0            2025-11-08 16:03:20  Running         00:00:15.1684208
987        iCloudNotificat           0            2025-11-08 16:03:16  Running         00:00:02.5516583
973        passd                     0            2025-11-08 16:03:15  Running         00:00:02.9081291
972        com.apple.Safar           0            2025-11-08 16:03:15  Running         00:00:26.3762416
971        remotepairingd            0            2025-11-08 16:03:15  Running         00:00:49.0632375
956        AdGuard for Saf           0            2025-11-08 16:03:14  Running         00:00:01.3085791
951        contentlinkingd           0            2025-11-08 16:03:14  Running         00:00:03.9784750
948        translationd              0            2025-11-08 16:03:14  Running         00:00:08.2823875
941        SafariBookmarks           0            2025-11-08 16:03:13  Running         00:00:23.7000333
937        SafariNotificat           0            2025-11-08 16:03:13  Running         00:00:00.1876708
939        com.apple.acces           0            2025-11-08 16:03:13  Running         00:00:00.1392791
930        com.apple.Safar           0            2025-11-08 16:03:13  Running         00:00:20.2536333
926        swcd                      0            2025-11-08 16:03:13  Running         00:00:08.8454250
923        AdGuard for Saf           0            2025-11-08 16:03:13  Running         00:00:04.3894708
918        SiriAUSP                  0            2025-11-08 16:03:12  Running         00:00:00.0535166
871        amsaccountsd              0            2025-11-08 16:03:11  Running         00:00:14.8798791
906        MauiAUSP                  0            2025-11-08 16:03:12  Running         00:00:00.0578375
907        UserNotificatio           0            2025-11-08 16:03:12  Running         00:00:05.4740958
901        WardaSynthesize           0            2025-11-08 16:03:12  Running         00:00:00.0618250
902        commerce                  0            2025-11-08 16:03:12  Running         00:00:02.4414041
900        KonaSynthesizer           0            2025-11-08 16:03:12  Running         00:00:00.1516833
898        AdGuard for Saf           0            2025-11-08 16:03:12  Running         00:00:25.9148750
895        SoftwareUpdateN           0            2025-11-08 16:03:12  Running         00:00:02.3165041
893        MacinTalkAUSP             0            2025-11-08 16:03:12  Running         00:00:00.0738333
896        mdbulkimport              17           2025-11-08 16:03:12  Running         00:00:49.0227541
892        PAH_Extension             0            2025-11-08 16:03:12  Running         00:00:05.7834875
891        com.apple.Cloud           0            2025-11-08 16:03:11  Running         00:00:01.4645875
890        parsecd                   0            2025-11-08 16:03:11  Running         00:00:07.8650208
888        CursorUIViewSer           0            2025-11-08 16:03:11  Running         00:02:01.3385041
887        Spotlight                 0            2025-11-08 16:03:11  Running         00:02:38.6200916
881        ctkahp                    0            2025-11-08 16:03:11  Running         00:00:00.0669750
857        LogiRightSight            0            2025-11-08 16:03:11  Running         00:00:03.6403208
849        axassetsd                 0            2025-11-08 16:03:11  Running         00:00:05.9218166
879        pbs                       0            2025-11-08 16:03:11  Running         00:00:01.2466500
876        TextInputSwitch           0            2025-11-08 16:03:11  Running         00:00:07.7244375
862        logioptionsplus           0            2025-11-08 16:03:11  Running         00:20:21.0655125
847        corespeechd               0            2025-11-08 16:03:11  Running         00:00:09.8732750
856        icdd                      0            2025-11-08 16:03:11  Running         00:00:00.2276958
846        heard                     0            2025-11-08 16:03:11  Running         00:00:39.0807416
874        ContainerMetada           0            2025-11-08 16:03:11  Running         00:00:00.7372541
864        AirPlayUIAgent            0            2025-11-08 16:03:11  Running         00:00:02.0300500
869        TextInputMenuAg           0            2025-11-08 16:03:11  Running         00:00:17.8385791
854        imklaunchagent            0            2025-11-08 16:03:11  Running         00:00:04.5491208
845        milod                     0            2025-11-08 16:03:10  Running         00:00:42.3266708
832        spotlightknowle           0            2025-11-08 16:03:08  Running         00:00:43.3391333
820        networkservicep           0            2025-11-08 16:03:06  Running         00:01:13.6915708
815        NewsTodayIntent           0            2025-11-08 16:03:06  Running         00:00:00.1063958
814        WeatherIntents            0            2025-11-08 16:03:05  Running         00:00:00.0417250
813        MobileTimerInte           0            2025-11-08 16:03:05  Running         00:00:00.0537750
812        assistantd                0            2025-11-08 16:03:05  Running         00:00:25.6838583
809        RemindersWidget           0            2025-11-08 16:03:05  Running         00:00:00.0362416
808        JournalWidgetsS           0            2025-11-08 16:03:05  Running         00:00:00.0410291
